,date,global_radiation,water_temp
0,2019-03-13,NA,5.098031
1,2019-03-14,NA,5.07561875
2,2019-03-15,NA,5.148357375
3,2019-03-16,NA,5.268759375
4,2019-03-17,NA,5.344516125
5,2019-03-18,NA,5.308703875
6,2019-03-19,NA,5.420210375
7,2019-03-20,NA,5.565108375
8,2019-03-21,NA,5.79838075
9,2019-03-22,NA,6.046095875
10,2019-03-23,NA,6.347609125
11,2019-03-24,NA,6.506589
12,2019-03-25,NA,5.954534625
13,2019-03-26,NA,5.53587366666667
14,2019-03-27,NA,6.3815495
15,2019-03-28,NA,6.229191
16,2019-03-29,NA,NA
17,2019-03-30,NA,NA
18,2019-03-31,NA,7.564806
19,2019-04-01,NA,7.14100183333333
20,2019-04-02,NA,8.07987775
21,2019-04-03,NA,7.47589575
22,2019-04-04,NA,7.518456375
23,2019-04-05,NA,8.278666625
24,2019-04-06,NA,8.194972
25,2019-04-07,NA,8.18546025
26,2019-04-08,NA,8.378585625
27,2019-04-09,NA,8.63527066666667
28,2019-04-10,NA,8.676671
29,2019-04-11,NA,8.423361
30,2019-04-12,NA,8.1539855
31,2019-04-13,NA,8.261658625
32,2019-04-14,NA,8.060908125
33,2019-04-15,NA,8.712015125
34,2019-04-16,NA,9.138882125
35,2019-04-17,NA,9.1609265
36,2019-04-18,NA,9.484108125
37,2019-04-19,NA,10.080818625
38,2019-04-20,NA,10.0321225714286
39,2019-04-21,NA,10.34714175
40,2019-04-22,NA,10.52699
41,2019-04-23,NA,11.11194625
42,2019-04-24,NA,11.96325375
43,2019-04-25,NA,11.720882375
44,2019-04-26,NA,11.22304625
45,2019-04-27,NA,11.232218875
46,2019-04-28,NA,10.868556
47,2019-04-29,NA,11.02242875
48,2019-04-30,NA,11.23636125
49,2019-05-01,NA,11.12485
50,2019-05-02,NA,11.0442425
51,2019-05-03,NA,11.1357875
52,2019-05-04,NA,11.081769375
53,2019-05-05,NA,10.537780875
54,2019-05-06,NA,11.042305
55,2019-05-07,NA,11.168128
56,2019-05-08,NA,11.026106
57,2019-05-09,NA,11.14206125
58,2019-05-10,216.028169014085,11.44999
59,2019-05-11,105.810606060606,11.7188825
60,2019-05-12,219.606060606061,11.30719625
61,2019-05-13,217.683823529412,11.46015125
62,2019-05-14,341.113636363636,11.62388
63,2019-05-15,205.888111888112,11.69084
64,2019-05-16,318.5,11.740416
65,2019-05-17,267.426573426573,11.85101
66,2019-05-18,208.354166666667,NA
