,date,thermocl
0,1972-01-18,10.6760152218561
1,1972-02-22,18.271766927339
2,1972-03-16,1.25
3,1972-04-10,5.74643394109208
4,1972-05-16,8.52104573791643
5,1972-06-13,6.47119444863593
6,1972-07-11,4.6641868118616
7,1972-08-15,4.65507150678453
8,1972-09-26,9.00106198554738
9,1972-10-17,9.13942394678573
10,1972-11-27,30.0
11,1972-12-20,30.0
12,1973-01-24,1.25
13,1973-03-21,30.0
14,1973-04-24,2.58724643029924
15,1973-05-22,1.25
16,1973-06-26,5.38642781468599
17,1973-07-24,6.79483034594974
18,1973-08-22,4.59872867659854
19,1973-10-23,11.3356052570391
20,1973-11-20,23.5633946745243
21,1973-12-11,30.0
22,1974-01-09,30.0
23,1974-02-11,30.0
24,1974-03-05,30.0
25,1974-04-02,1.25
26,1974-05-14,6.6401494414211
27,1974-06-05,1.25
28,1974-07-09,5.39676421855324
29,1974-08-06,4.65375818462913
30,1974-09-03,6.30033540362093
31,1974-10-08,10.9446274725989
32,1974-11-06,16.4659509862074
33,1974-12-03,30.0
34,1975-01-14,30.0
35,1975-02-06,30.0
36,1975-03-12,1.25
37,1975-04-08,1.25
38,1975-05-12,6.29984259303252
39,1975-06-10,5.01074191313651
40,1975-07-02,6.09095006751798
41,1975-08-06,3.31022929745277
42,1975-09-03,8.40256079404812
43,1975-10-20,9.49326142003127
44,1975-11-11,6.25
45,1975-12-10,30.0
46,1976-01-05,30.0
47,1976-03-01,30.0
48,1976-03-29,1.76663542912639
49,1976-04-26,4.22382352191544
50,1976-05-24,6.61740513151621
51,1976-06-21,3.93457349453207
52,1976-09-13,8.55317597807948
53,1976-10-11,8.63854167686825
54,1976-11-08,12.5657764341917
55,1976-12-06,17.6753181174719
56,1977-01-03,2.12786799289649
57,1977-01-31,17.4012343517049
58,1977-02-28,30.0
59,1977-03-28,4.63852770716949
60,1977-04-25,4.47798328009008
61,1977-05-23,4.41351317464396
62,1977-06-20,6.29935284109062
63,1977-07-18,6.71379391377146
64,1977-08-15,4.70231894187453
65,1977-09-12,8.27793559643956
66,1977-10-10,11.5319855136318
67,1977-11-07,12.5835491766988
68,1977-12-05,30.0
69,1978-01-03,30.0
70,1978-01-30,30.0
71,1978-03-13,30.0
72,1978-03-28,30.0
73,1978-04-10,1.62236179146361
74,1978-05-08,7.85029652051893
75,1978-06-05,0.5
76,1978-07-03,6.2335703221576
77,1978-08-02,4.42839029914478
78,1978-08-28,6.46317962325731
79,1978-09-25,8.7243363161159
80,1978-10-23,10.8800396583517
81,1978-11-20,13.4468520427116
82,1978-12-18,30.0
83,1979-03-13,30.0
84,1979-04-10,23.8847795738388
85,1979-05-07,10.4801633124737
86,1979-06-05,2.07856218205567
87,1979-07-02,5.99129249866597
88,1979-07-30,4.61497374939434
89,1979-08-27,7.05461551799488
90,1979-09-24,8.73769737965307
91,1979-10-22,9.07771452970502
92,1979-11-19,15.7849433921846
93,1979-12-17,30.0
94,1980-02-04,30.0
95,1980-03-10,30.0
96,1980-04-08,30.0
97,1980-05-05,6.15709154820296
98,1980-05-27,5.13265367616861
99,1980-06-30,6.79194159767305
100,1980-07-28,4.98035880988569
101,1980-08-25,6.37779631775546
102,1980-09-22,8.57932573681128
103,1980-10-20,11.2125547834401
104,1980-11-10,0.5
105,1980-12-15,30.0
106,1981-01-12,30.0
107,1981-04-06,4.44112137769625
108,1981-05-05,8.80984490096632
109,1981-06-02,5.69842195889574
110,1981-06-29,6.37202426923441
111,1981-08-04,7.97855040339458
112,1981-09-21,8.21404533314421
113,1981-10-20,11.1341078154742
114,1981-11-16,16.2395606305469
115,1981-12-14,30.0
116,1982-03-15,30.0
117,1982-04-13,13.9447084502475
118,1982-06-07,4.47849989959596
119,1982-07-05,5.17487506848145
120,1982-08-10,7.55444833285978
121,1982-08-30,8.18722116213291
122,1982-10-04,8.38660856700695
123,1982-10-25,11.2008329138475
124,1982-11-22,15.049542713794
125,1982-12-13,30.0
126,1983-01-17,30.0
127,1983-04-18,1.28358077819435
128,1983-05-24,6.70471904650345
129,1983-06-20,6.4408646984785
130,1983-07-11,4.70913985420613
131,1983-08-29,6.16642832672908
132,1983-09-26,8.88815337961294
133,1983-10-24,11.3512390300093
134,1983-11-21,16.3244773724228
135,1983-12-12,30.0
136,1984-01-10,30.0
137,1984-02-06,30.0
138,1984-03-05,0.5
139,1984-04-02,1.33203028668596
140,1984-04-30,6.88484556465932
141,1984-06-12,8.2095655556304
142,1984-07-02,6.4400619797752
143,1984-08-13,8.53001518443577
144,1984-09-10,6.89769127626812
145,1984-10-01,11.2343832571435
146,1984-11-05,11.5987576503224
147,1984-12-03,16.4147914140091
148,1985-03-11,30.0
149,1985-04-09,9.08999566211785
150,1985-05-06,1.98676467576328
151,1985-06-03,4.19134415655172
152,1985-07-01,6.19867982939078
153,1985-08-26,7.60139351829305
154,1985-09-23,8.81798700258093
155,1985-10-22,10.5732864482256
156,1985-11-18,17.8136572558974
157,1985-12-09,30.0
158,1986-01-13,30.0
159,1986-04-07,30.0
160,1986-05-05,2.01333639315037
161,1986-06-02,5.74861128282388
162,1986-06-30,4.16216716038323
